device_id,file_id,wafer_id,lot_id,part_type,x_coord,y_coord,site_num,head_num,pass_fail,hard_bin,soft_bin,num_tests_run,test_time_ms,part_id,attempt_index,ingestion_ts,ingestion_date
7f9e492c365239a3_85,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,22,-7,0,1,PASS,1,1,72,0,85,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_86,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,23,-7,0,1,PASS,1,1,72,0,86,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_87,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,24,-7,0,1,PASS,1,1,74,0,87,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_88,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,25,-7,0,1,PASS,1,1,72,0,88,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_89,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,26,-7,0,1,PASS,1,1,72,0,89,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_90,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,27,-7,0,1,PASS,1,1,72,0,90,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_91,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,28,-7,0,1,PASS,1,1,72,0,91,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_92,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,29,-7,0,1,PASS,1,1,72,0,92,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_93,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,30,-7,0,1,FAIL,20,20,64,0,93,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_94,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,31,-7,0,1,PASS,1,1,74,0,94,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_95,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,32,-7,0,1,PASS,1,1,72,0,95,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_96,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,33,-7,0,1,PASS,1,1,72,0,96,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_97,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,34,-7,0,1,PASS,1,1,72,0,97,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_98,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,35,-7,0,1,PASS,1,1,72,0,98,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_99,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,36,-7,0,1,PASS,1,1,72,0,99,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_100,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,37,-7,0,1,PASS,1,1,74,0,100,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_101,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,38,-7,0,1,PASS,1,1,72,0,101,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_102,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,39,-8,0,1,PASS,1,1,72,0,102,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_103,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,38,-8,0,1,PASS,1,1,72,0,103,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_104,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,37,-8,0,1,PASS,1,1,72,0,104,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_105,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,36,-8,0,1,PASS,1,1,72,0,105,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_106,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,35,-8,0,1,PASS,1,1,74,0,106,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_107,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,34,-8,0,1,PASS,1,1,72,0,107,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_108,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,33,-8,0,1,PASS,1,1,72,0,108,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_109,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,32,-8,0,1,PASS,1,1,72,0,109,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_110,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,31,-8,0,1,PASS,1,1,72,0,110,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_111,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,30,-8,0,1,PASS,1,1,72,0,111,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_112,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,29,-8,0,1,FAIL,2,2,53,0,112,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_113,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,28,-8,0,1,FAIL,2,2,53,0,113,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_114,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,27,-8,0,1,PASS,1,1,74,0,114,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_115,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,26,-8,0,1,PASS,1,1,72,0,115,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_116,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,25,-8,0,1,FAIL,20,20,62,0,116,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_117,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,24,-8,0,1,PASS,1,1,74,0,117,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_118,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,23,-8,0,1,PASS,1,1,72,0,118,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_119,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,22,-8,0,1,PASS,1,1,72,0,119,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_120,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,21,-8,0,1,PASS,1,1,72,0,120,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_121,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,20,-8,0,1,PASS,1,1,72,0,121,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_122,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,19,-8,0,1,PASS,1,1,72,0,122,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_123,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,18,-8,0,1,PASS,1,1,74,0,123,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_124,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,17,-8,0,1,PASS,1,1,72,0,124,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_125,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,16,-8,0,1,PASS,1,1,72,0,125,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_126,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,15,-8,0,1,PASS,1,1,72,0,126,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_127,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,14,-8,0,1,PASS,1,1,72,0,127,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_128,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,13,-8,0,1,PASS,1,1,72,0,128,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_129,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,12,-8,0,1,PASS,1,1,74,0,129,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_130,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,11,-8,0,1,PASS,1,1,72,0,130,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_131,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,10,-9,0,1,PASS,1,1,54,0,131,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_132,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,11,-9,0,1,PASS,1,1,72,0,132,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_133,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,12,-9,0,1,PASS,1,1,72,0,133,0,2026-03-24T15:03:32Z,2026-03-24
